Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,6.324E-05,-0.069364,-0.0057482,0,0,0,5.4419,0.0071218,-1.7632E-07,-4.8929E-07,0.011488,-5.0758E-06,0.0082732,0,0,0,0,0,0,package://GO_urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://GO_urdf/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_Link1,5.6642E-05,-0.014784,0.05138,0,0,0,0.60559,0.00034154,6.9802E-08,1.0024E-06,0.00064932,8.7952E-06,0.00037423,0,0,0,0,0,0,package://GO_urdf/meshes/LF_Link1.STL,1,0.5,0.5,1,0,0,0,0,0,0,package://GO_urdf/meshes/LF_Link1.STL,,LFlink1-1,LFframe1,LFline1,LF1,revolute,0.060001,-0.06425,0.1566,0,0,1.5708,base_link,0,0,1,0,0,-1.047,1.047,,,,,,,,
LF_Link2,0.00094558,-0.022839,0.038764,0,0,0,0.80378,0.0011632,-7.5488E-05,-4.84E-08,0.00046561,8.6426E-08,0.0015723,0,0,0,0,0,0,package://GO_urdf/meshes/LF_Link2.STL,0.3,0.3,1,1,0,0,0,0,0,0,package://GO_urdf/meshes/LF_Link2.STL,,LFlink2-1,LFframe2,LFline2,LF2,continuous,0,-0.0336,0.056,1.5708,0,0,LF_Link1,0,0,1,0,0,0,0,,,,,,,,
LF_Link3,-0.12367,0.070965,6.1707E-05,0,0,0,0.27052,0.00028269,0.0004308,-3.4435E-08,0.0008032,-1.219E-10,0.0010713,0,0,0,0,0,0,package://GO_urdf/meshes/LF_Link3.STL,0.5,1,0.5,1,0,0,0,0,0,0,package://GO_urdf/meshes/LF_Link3.STL,,LFlink3-1,LFframe3,LFline3,LF3,revolute,-0.0385,-0.24702,0.0602,0,0,0,LF_Link2,0,0,1,0,0,-0.995,0.523,,,,,,,,
RF_Link1,-5.6642E-05,0.014784,0.05138,0,0,0,0.60559,0.00034154,6.9802E-08,-1.0024E-06,0.00064932,-8.7952E-06,0.00037423,0,0,0,0,0,0,package://GO_urdf/meshes/RF_Link1.STL,1,0.5,0.5,1,0,0,0,0,0,0,package://GO_urdf/meshes/RF_Link1.STL,,RFlink1-1,RFframe1,RFline1,RF1,revolute,-0.059999,-0.06425,0.1566,0,0,1.5708,base_link,0,0,1,0,0,-1.047,1.047,,,,,,,,
RF_Link2,0.0012123,0.02266,0.038629,0,0,0,0.80378,0.0011641,7.8106E-05,-8.0916E-08,0.00046477,1.1193E-09,0.0015723,0,0,0,0,0,0,package://GO_urdf/meshes/RF_Link2.STL,0.3,0.3,1,1,0,0,0,0,0,0,package://GO_urdf/meshes/RF_Link2.STL,,RFlink2-1,RFframe2,RFline2,RF2,continuous,0,0.0336,0.056,-1.5708,0,0,RF_Link1,0,0,1,0,0,0,0,,,,,,,,
RF_Link3,-0.12367,-0.070965,-6.1707E-05,0,0,0,0.27052,0.00028269,-0.0004308,3.4435E-08,0.0008032,-1.2189E-10,0.0010713,0,0,0,0,0,0,package://GO_urdf/meshes/RF_Link3.STL,0.5,1,0.5,1,0,0,0,0,0,0,package://GO_urdf/meshes/RF_Link3.STL,,RFlink3-1,RFframe3,RFline3,RF3,revolute,-0.0385,0.24702,0.0599,0,0,0,RF_Link2,0,0,1,0,0,-0.995,0.523,,,,,,,,
LR_Link1,-5.6642E-05,0.014784,0.05138,0,0,0,0.60559,0.00034154,6.9802E-08,-1.0024E-06,0.00064932,-8.7952E-06,0.00037423,0,0,0,0,0,0,package://GO_urdf/meshes/LR_Link1.STL,1,0.5,0.5,1,0,0,0,0,0,0,package://GO_urdf/meshes/LR_Link1.STL,,LRlink1-1,LRframe1,LRline1,LR1,revolute,0.060001,-0.06425,-0.1566,-3.1416,0,1.5708,base_link,0,0,1,0,0,-1.047,1.047,,,,,,,,
LR_Link2,0.00094558,-0.022839,0.038764,0,0,0,0.80378,0.0011632,-7.5488E-05,-4.84E-08,0.00046561,8.6426E-08,0.0015723,0,0,0,0,0,0,package://GO_urdf/meshes/LR_Link2.STL,0.3,0.3,1,1,0,0,0,0,0,0,package://GO_urdf/meshes/LR_Link2.STL,,LRlink2-2,LRframe2,LRline2,LR2,continuous,0,0.0336,0.056,-1.5708,0,0,LR_Link1,0,0,1,0,0,0,0,,,,,,,,
LR_Link3,-0.12367,0.070965,6.1705E-05,0,0,0,0.27052,0.00028269,0.0004308,-3.4435E-08,0.0008032,-1.217E-10,0.0010713,0,0,0,0,0,0,package://GO_urdf/meshes/LR_Link3.STL,0.5,1,0.5,1,0,0,0,0,0,0,package://GO_urdf/meshes/LR_Link3.STL,,LRlink3-1,LRframe3,LRline3,LR3,revolute,-0.0385,-0.24702,0.0602,0,0,0,LR_Link2,0,0,-1,0,0,-0.995,0.523,,,,,,,,
